Author,Year,Type_of_Meta-Analysis,Age_Group,Health_Status,Skill_Level,N,Task,Outcome_Measure,Hedges_g,Standard_Error,Risk_of_Bias
Querfurth et al.,2016,Performance,Adult,Healthy,Experienced,20,Dart throwing,Radial error,0.129,0.22,Low
Richer et al.,2017,Performance,Children,Healthy,Novice,16,Balance,Sway area,-0.123,0.245,Low
Rossettini et al.,2017,Performance,Adult,Healthy,Novice,10,tapping,Number of errors,4.221,0.991,Low
Saemi et al.,2016,Performance,Adult,Healthy,Expert,11,Basketball free,Accuracy score,1.492,0.304,Low
"Schücker, Anheier, et al.",2013,Performance,Adult,Healthy,Expert,20,Treadmill running,Oxygen consumption,0.292,0.224,Low
"Schücker, Fleddermann, et al.",2016,Performance,Adult,Healthy,Expert,24,Ergometer cycling,Oxygen consumption,0.054,0.201,Low
Schücker et al.,2009,Performance,Adult,Healthy,Expert,24,Treadmill running,Oxygen consumption,0.345,0.207,Low
Schücker et al.,2015,Performance,Adult,Healthy,Expert,18,Ergometer,Oxygen,0.157,0.232,Low
"Schücker, Schmeing, et al.",2016,Performance,Adult,Healthy,Novice,30,Treadmill running,Oxygen consumption,0.329,0.185,Low
Schutts et al.,2017,Performance,Adult,Healthy,Expert,12,Snatch,Barbell-cervical-hip angle at maximum height,0.154,0.28,Low
"Shafizadeh, Platt & Mohammadi",2013,Performance,Adult,Multiple sclerosis,Novice,12,Treadmill walking,Step length,0.753,0.318,Moderate
Sherwood et al.,2014 Exp 1 & 2,Performance,Adult,Healthy,Novice,48,Dart throwing,Radial error,2.32,0.276,Low
Stambaugh,2017,Performance,Adult,Healthy,Novice,15,Playing of musical instrument,Pitch error,0.12,0.252,Low
Stambaugh,2017,Performance,Adult,Healthy,Experienced,15,Playing of musical instrument,Pitch error,-0.199,0.254,Low
Stoate & Wulf,2011,Performance,Children,Healthy,Expert,30,Swimming,Movement time,0.224,0.183,Low
Winkelman et al.,2017 Exp 1 & 2,Performance,Adult,Healthy,Experienced,16,Sprinting,Movement time,0.221,0.247,Low
Winkelman et al.,2017 Exp 1 & 2,Performance,Adult,Healthy,Expert,13,Sprinting,Movement time,-0.075,0.269,Low
Wu et al.,2012,Performance,Adult,Healthy,Novice,21,Jumping,Jump distance,0.324,0.22,Moderate
Wulf et al.,2008,Performance,Adult,Healthy,Expert,12,Balance,Mean power frequency,-0.022,0.279,Low
Wulf & Dufek,2009,Performance,Adult,Healthy,Novice,10,Jumping,Center of mass displacement,0.555,0.327,Low
"Wulf, Dufek, et al.",2010,Performance,Adult,Healthy,Novice,8,Jumping,Jump-and-reach,0.15,0.336,Low
Wulf et al.,2009,Performance,Older adult,Idiopathic PD,Novice,14,Balance,RMSE center of pressure,0.435,0.272,Low
Wulf & Su,2007 Exp 2,Performance,Adult,Healthy,Expert,6,Golf pitch shot,Accuracy score,0.669,0.423,Low
"Wulf, Töllner, et al.",2007 Exp 1 & 2,Performance,Adult,Healthy,Novice,42,Balance,RMSE center of,0.092,0.108,Low
"Wulf, Zachry, et al.",2007 Exp 1 & 2,Performance,Adult,Healthy,Novice,22,Jumping,Jump-and-reach height and center of,0.305,0.211,Low
Yogev-Seligmann et al.,2017,Performance,Older adult,Healthy,Experienced,20,Walking,Step length,-0.047,0.219,Low
Zachry et al.,2005,Performance,Adult,Healthy,Experienced,14,Basketball free,Accuracy score,0.462,0.274,Moderate
Zarghami et al.,2012,Performance,Adult,Healthy,Experienced,20,Discus throwing,Distance,0.491,0.232,Low
